"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 17 06:35:22 GMT 2022","Thu Mar 17 06:35:22 GMT 2022","479","chromium","sorting_questions.spec.js","User can sort existent questions","","","Empty list sorting",""
"passed","Thu Mar 17 06:35:25 GMT 2022","Thu Mar 17 06:35:26 GMT 2022","783","firefox","counting_questions.spec.js","User can see the number of the saved questions","","","No questions",""
"passed","Thu Mar 17 06:35:15 GMT 2022","Thu Mar 17 06:35:15 GMT 2022","548","chromium","creating_questions.spec.js","User can save new question in the list","","","Adding more questions to the list",""
"passed","Thu Mar 17 06:35:41 GMT 2022","Thu Mar 17 06:35:44 GMT 2022","2493","webkit","counting_questions.spec.js","User can see the number of the saved questions","","","One or more questions",""
"passed","Thu Mar 17 06:35:39 GMT 2022","Thu Mar 17 06:35:40 GMT 2022","734","firefox","sorting_questions.spec.js","User can sort existent questions","","","Empty list sorting",""
"passed","Thu Mar 17 06:35:18 GMT 2022","Thu Mar 17 06:35:19 GMT 2022","595","chromium","reviewing_questions.spec.js","User can review saved questions","","","Reviewing answer within multiple questions",""
"passed","Thu Mar 17 06:35:19 GMT 2022","Thu Mar 17 06:35:20 GMT 2022","467","chromium","showing_tooltips.spec.js","User can see informers while using interface","","","Questions tooltip",""
"passed","Thu Mar 17 06:35:20 GMT 2022","Thu Mar 17 06:35:20 GMT 2022","483","chromium","showing_tooltips.spec.js","User can see informers while using interface","","","Question maker tooltip",""
"passed","Thu Mar 17 06:35:37 GMT 2022","Thu Mar 17 06:35:38 GMT 2022","1439","firefox","sorting_questions.spec.js","User can sort existent questions","","","Alphabetical sorting",""
"passed","Thu Mar 17 06:35:13 GMT 2022","Thu Mar 17 06:35:13 GMT 2022","480","chromium","counting_questions.spec.js","User can see the number of the saved questions","","","No questions",""
"passed","Thu Mar 17 06:35:51 GMT 2022","Thu Mar 17 06:35:51 GMT 2022","772","webkit","reviewing_questions.spec.js","User can review saved questions","","","Reviewing answer within multiple questions",""
"passed","Thu Mar 17 06:35:52 GMT 2022","Thu Mar 17 06:35:53 GMT 2022","513","webkit","showing_tooltips.spec.js","User can see informers while using interface","","","Questions tooltip",""
"passed","Thu Mar 17 06:35:19 GMT 2022","Thu Mar 17 06:35:19 GMT 2022","504","chromium","reviewing_questions.spec.js","User can review saved questions","","","Hiding answer after expanding it",""
"passed","Thu Mar 17 06:35:20 GMT 2022","Thu Mar 17 06:35:21 GMT 2022","892","chromium","sorting_questions.spec.js","User can sort existent questions","","","Alphabetical sorting",""
"passed","Thu Mar 17 06:35:50 GMT 2022","Thu Mar 17 06:35:51 GMT 2022","481","webkit","reviewing_questions.spec.js","User can review saved questions","","","Reviewing pre-saved question",""
"passed","Thu Mar 17 06:35:30 GMT 2022","Thu Mar 17 06:35:31 GMT 2022","732","firefox","removing_questions.spec.js","User can remove saved questions","","","Removing single question",""
"passed","Thu Mar 17 06:35:53 GMT 2022","Thu Mar 17 06:35:53 GMT 2022","494","webkit","showing_tooltips.spec.js","User can see informers while using interface","","","Question maker tooltip",""
"passed","Thu Mar 17 06:35:23 GMT 2022","Thu Mar 17 06:35:25 GMT 2022","2210","firefox","counting_questions.spec.js","User can see the number of the saved questions","","","One or more questions",""
"passed","Thu Mar 17 06:35:15 GMT 2022","Thu Mar 17 06:35:16 GMT 2022","616","chromium","creating_questions.spec.js","User can save new question in the list","","","Creating first question",""
"passed","Thu Mar 17 06:35:38 GMT 2022","Thu Mar 17 06:35:39 GMT 2022","1196","firefox","sorting_questions.spec.js","User can sort existent questions","","","Numerical sorting",""
"passed","Thu Mar 17 06:35:32 GMT 2022","Thu Mar 17 06:35:33 GMT 2022","779","firefox","reviewing_questions.spec.js","User can review saved questions","","","Reviewing pre-saved question",""
"passed","Thu Mar 17 06:35:17 GMT 2022","Thu Mar 17 06:35:18 GMT 2022","474","chromium","removing_questions.spec.js","User can remove saved questions","","","Removing empty list",""
"passed","Thu Mar 17 06:35:45 GMT 2022","Thu Mar 17 06:35:46 GMT 2022","598","webkit","creating_questions.spec.js","User can save new question in the list","","","Question field is required",""
"passed","Thu Mar 17 06:35:28 GMT 2022","Thu Mar 17 06:35:29 GMT 2022","966","firefox","creating_questions.spec.js","User can save new question in the list","","","Adding more questions to the list",""
"passed","Thu Mar 17 06:35:56 GMT 2022","Thu Mar 17 06:35:56 GMT 2022","538","webkit","sorting_questions.spec.js","User can sort existent questions","","","Empty list sorting",""
"passed","Thu Mar 17 06:35:53 GMT 2022","Thu Mar 17 06:35:54 GMT 2022","1247","webkit","sorting_questions.spec.js","User can sort existent questions","","","Alphabetical sorting",""
"passed","Thu Mar 17 06:35:27 GMT 2022","Thu Mar 17 06:35:28 GMT 2022","650","firefox","creating_questions.spec.js","User can save new question in the list","","","Answer field is required",""
"passed","Thu Mar 17 06:35:14 GMT 2022","Thu Mar 17 06:35:15 GMT 2022","407","chromium","creating_questions.spec.js","User can save new question in the list","","","Answer field is required",""
"passed","Thu Mar 17 06:35:50 GMT 2022","Thu Mar 17 06:35:50 GMT 2022","535","webkit","removing_questions.spec.js","User can remove saved questions","","","Removing empty list",""
"passed","Thu Mar 17 06:35:29 GMT 2022","Thu Mar 17 06:35:30 GMT 2022","926","firefox","creating_questions.spec.js","User can save new question in the list","","","Creating first question",""
